Starttime,Stoptime
9/20/2015 1:05,9/20/2015 1:10
9/20/2015 1:06,9/20/2015 1:09
9/20/2015 1:07,9/20/2015 1:24
9/20/2015 1:19,9/20/2015 1:35
9/20/2015 2:51,9/20/2015 3:08
9/20/2015 2:55,9/20/2015 3:10
9/20/2015 3:33,9/20/2015 3:43
9/20/2015 3:38,9/20/2015 3:52
9/20/2015 3:39,9/20/2015 3:42
9/20/2015 3:43,9/20/2015 3:48
9/20/2015 4:05,9/20/2015 4:22
9/20/2015 4:06,9/20/2015 4:12
9/20/2015 4:06,9/20/2015 19:25
9/20/2015 4:07,9/20/2015 4:19
9/20/2015 4:07,9/20/2015 4:20
9/20/2015 6:14,9/20/2015 6:58
9/20/2015 6:43,9/20/2015 6:59
9/20/2015 6:59,9/20/2015 7:09
9/20/2015 7:38,9/20/2015 7:58
9/20/2015 7:42,9/20/2015 7:47
9/20/2015 8:12,9/20/2015 8:57
9/20/2015 8:18,9/20/2015 9:41
9/20/2015 8:46,9/20/2015 8:57
9/20/2015 8:47,9/20/2015 8:57
9/20/2015 8:58,9/20/2015 9:04
9/20/2015 9:13,9/20/2015 9:27
9/20/2015 9:14,9/20/2015 10:50
9/20/2015 9:16,9/20/2015 9:38
9/20/2015 9:16,9/20/2015 9:41
9/20/2015 9:18,9/20/2015 10:45
9/20/2015 9:20,9/20/2015 10:46
9/20/2015 9:20,9/20/2015 9:42
9/20/2015 9:31,9/20/2015 9:49
9/20/2015 9:33,9/20/2015 9:58
9/20/2015 9:35,9/20/2015 9:46
9/20/2015 9:35,9/20/2015 9:49
9/20/2015 9:36,9/20/2015 9:54
9/20/2015 9:43,9/20/2015 9:50
9/20/2015 9:44,9/20/2015 11:39
9/20/2015 9:48,9/20/2015 9:56
9/20/2015 9:53,9/20/2015 9:58
9/20/2015 9:53,9/20/2015 10:19
9/20/2015 9:54,9/20/2015 12:03
9/20/2015 9:57,9/20/2015 10:24
9/20/2015 9:57,9/20/2015 10:21
9/20/2015 9:58,9/20/2015 10:21
9/20/2015 10:02,9/20/2015 10:21
9/20/2015 10:03,9/20/2015 10:21
9/20/2015 10:03,9/20/2015 10:21
9/20/2015 10:04,9/20/2015 10:20
9/20/2015 10:10,9/20/2015 11:02
9/20/2015 10:12,9/20/2015 11:38
9/20/2015 10:14,9/20/2015 17:21
9/20/2015 10:15,9/20/2015 10:34
9/20/2015 10:17,9/20/2015 10:22
9/20/2015 10:21,9/20/2015 11:52
9/20/2015 10:21,9/20/2015 11:48
9/20/2015 10:23,9/20/2015 10:33
9/20/2015 10:24,9/20/2015 17:21
9/20/2015 10:25,9/20/2015 10:51
9/20/2015 10:28,9/20/2015 10:49
9/20/2015 10:29,9/20/2015 10:55
9/20/2015 10:37,9/20/2015 10:53
9/20/2015 10:38,9/20/2015 10:53
9/20/2015 10:40,9/20/2015 14:31
9/20/2015 10:40,9/20/2015 10:50
9/20/2015 10:40,9/20/2015 10:50
9/20/2015 10:44,9/20/2015 11:16
9/20/2015 10:44,9/20/2015 11:00
9/20/2015 10:45,9/20/2015 11:58
9/20/2015 10:48,9/20/2015 11:04
9/20/2015 10:49,9/20/2015 11:58
9/20/2015 10:51,9/20/2015 12:00
9/20/2015 10:51,9/20/2015 11:02
9/20/2015 10:57,9/20/2015 11:24
9/20/2015 10:57,9/20/2015 11:27
9/20/2015 10:58,9/20/2015 11:02
9/20/2015 10:58,9/20/2015 11:06
9/20/2015 10:58,9/20/2015 13:56
9/20/2015 11:00,9/20/2015 11:59
9/20/2015 11:00,9/20/2015 14:13
9/20/2015 11:00,9/20/2015 11:45
9/20/2015 11:01,9/20/2015 11:43
9/20/2015 11:03,9/20/2015 11:07
9/20/2015 11:08,9/20/2015 11:20
9/20/2015 11:09,9/20/2015 13:56
9/20/2015 11:09,9/20/2015 12:55
9/20/2015 11:09,9/20/2015 11:23
9/20/2015 11:10,9/20/2015 11:57
9/20/2015 11:11,9/20/2015 13:02
9/20/2015 11:12,9/20/2015 11:23
9/20/2015 11:12,9/20/2015 11:41
9/20/2015 11:12,9/20/2015 11:45
9/20/2015 11:13,9/20/2015 11:37
9/20/2015 11:14,9/20/2015 11:46
9/20/2015 11:15,9/20/2015 11:43
9/20/2015 11:16,9/20/2015 12:16
9/20/2015 11:17,9/20/2015 11:55
