Starttime,Stoptime
8/11/2015 17:30,8/11/2015 17:44
8/11/2015 17:30,8/11/2015 17:42
8/11/2015 17:31,8/11/2015 17:42
8/11/2015 17:31,8/11/2015 18:09
8/11/2015 17:32,8/11/2015 17:40
8/11/2015 17:34,8/11/2015 18:00
8/11/2015 17:34,8/11/2015 17:37
8/11/2015 17:35,8/11/2015 20:05
8/11/2015 17:35,8/11/2015 18:31
8/11/2015 17:36,8/11/2015 17:48
8/11/2015 17:36,8/11/2015 18:00
8/11/2015 17:36,8/11/2015 18:19
8/11/2015 17:37,8/11/2015 17:55
8/11/2015 17:38,8/11/2015 18:24
8/11/2015 17:39,8/11/2015 17:53
8/11/2015 17:40,8/11/2015 17:53
8/11/2015 17:41,8/11/2015 17:55
8/11/2015 17:43,8/11/2015 18:06
8/11/2015 17:45,8/11/2015 18:12
8/11/2015 17:47,8/11/2015 18:15
8/11/2015 17:50,8/11/2015 18:00
8/11/2015 17:53,8/11/2015 18:30
8/11/2015 17:54,8/11/2015 18:06
8/11/2015 17:56,8/11/2015 18:08
8/11/2015 17:58,8/11/2015 18:18
8/11/2015 18:01,8/11/2015 19:42
8/11/2015 18:01,8/11/2015 19:41
8/11/2015 18:02,8/11/2015 19:42
8/11/2015 18:02,8/11/2015 18:38
8/11/2015 18:04,8/11/2015 18:22
8/11/2015 18:04,8/11/2015 18:10
8/11/2015 18:05,8/11/2015 18:37
8/11/2015 18:05,8/11/2015 18:38
8/11/2015 18:05,8/11/2015 18:48
8/11/2015 18:06,8/11/2015 18:39
8/11/2015 18:07,8/11/2015 18:39
8/11/2015 18:07,8/11/2015 18:20
8/11/2015 18:13,8/11/2015 19:13
8/11/2015 18:14,8/11/2015 18:50
8/11/2015 18:14,8/12/2015 15:17
8/11/2015 18:16,8/11/2015 18:31
8/11/2015 18:20,8/11/2015 18:25
8/11/2015 18:21,8/11/2015 18:37
8/11/2015 18:22,8/11/2015 20:12
8/11/2015 18:25,8/11/2015 20:32
8/11/2015 18:26,8/11/2015 20:30
8/11/2015 18:26,8/11/2015 18:37
8/11/2015 18:30,8/11/2015 18:41
8/11/2015 18:32,8/11/2015 18:35
8/11/2015 18:33,8/11/2015 18:55
8/11/2015 18:35,8/11/2015 19:26
8/11/2015 18:35,8/11/2015 19:22
